*	OSC1_Ch1	OSC1_Ch2
0.0310239193356523	-5	-3.504700967791
0.0313571840074474	-5	-2.48627704032294
0.0317955785403399	-5	-1.56374452186899
0.0322955785403423	-5	-0.903335709500055
0.0327955785403447	-5	-0.512399579032808
0.033295578540347	-5	-0.286565651657795
0.0337955785403494	-5	-0.158465756899593
0.0342955785403518	-5	-0.0868243439851444
0.0347955785403542	-5	-0.0472079047602456
0.0352955785403566	-5	-0.0255018187639595
0.035795578540359	-5	-0.0136998425738986
0.0362955785403614	-5	-0.00732438788290857
0.0367955785403638	-5	-0.00389942723943504
0.0372955785403661	-5	-0.00206833026870923
0.0377955785403685	-5	-0.0010934734588508
0.0382955785403709	-5	-0.000576390891673384
0.0387955785403733	-5	-0.000303022526960461
0.0392955785403757	-5	-0.000158924804042559
0.0397955785403781	-5	-8.31691723020001E-5
0.039999947399977	-3.975009123941	0.884761610417361
0.0399999475999806	-2.97499127763223	1.88477907977031
0.0400000000000063	5	9.85926034261059
0.0400000512000105	5	9.85875557789659
0.0400001536000047	5	9.85774610620463
0.0400003584000075	5	9.85572745706113
0.040000768000013	5	9.85169138607129
0.0400015872000097	5	9.843624191117
0.0400032256000031	5	9.82750960011628
0.0400065024000042	5	9.79535946697487
0.0400130560000065	5	9.73137404071381
0.040026163200011	5	9.60465164567485
0.0400523776000057	5	9.35611476864892
0.0401048064000094	5	8.87800730538077
0.0402096640000025	5	7.99266625415898
0.0404193792000029	5	6.47024782338332
0.0405866807343358	5	5.46380884327837
0.0407928232981476	5	4.43382571151437
0.041023919311499	5	3.50469977342971
0.0413571841332043	5	2.48627579572344
0.0417955787899444	5	1.56374350597334
0.0422955787899468	5	0.903335103309556
0.0427955787899492	5	0.51239922681622
0.0432955787899516	5	0.286565450988831
0.043795578789954	5	0.158465644284775
0.0442955787899564	5	0.0868242815375679
0.0447955787899588	5	0.0472078704663743
0.0452955787899612	5	0.0255018000819831
0.0457955787899635	5	0.0136998324653899
0.0462955787899659	5	0.00732438244489408
0.0467955787899683	5	0.00389942432854617
0.0472955787899707	5	0.00206832871732265
0.0477955787899731	5	0.001093472635187
0.0482955787899755	5	0.00057639045585578
0.0487955787899779	5	0.000303022297059474
0.0492955787899803	5	0.000158924683095307
0.0497955787899826	5	8.31691088309938E-5
0.0499999473999679	3.97503470243865	-0.884739653894342
0.0499999475999715	2.97501685612989	-1.88475712325168
0.0499999999999972	-5	-9.85926396446616
0.0500000512000014	-5	-9.85875919956723
0.0500001535999957	-5	-9.85774972750484
0.0500003583999984	-5	-9.8557310776201
0.0500007680000039	-5	-9.85169500514785
0.0500015872000006	-5	-9.84362780723023
0.050003225599994	-5	-9.82751321030988
0.0500065023999952	-5	-9.79536306535806
0.0500130559999974	-5	-9.73137761559168
0.0500261632000019	-5	-9.60465517400058
 
