,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C)
,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16
Time (mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,103.12,95.74,89.01,84.71,57.96,47.16,51.02,48.81,49.43,40.59,39.87,38.38,32.9,32.39,32.57,31.34,376.27,368.89,362.16,357.86,331.11,320.31,324.17,321.96,322.58,313.74,313.02,311.53,306.05,305.54,305.72,304.49,1.4,1.19,1.07,0.95,0.44,0.41,0.39,0.4,0.41,0.48,0.49,0.51,0.58,0.59,0.59,0.6
43.0,103.6,96.23,89.49,84.95,57.96,47.16,51.26,48.81,49.68,40.59,40.12,38.38,33.15,32.39,32.33,31.34,376.75,369.38,362.64,358.1,331.11,320.31,324.41,321.96,322.83,313.74,313.27,311.53,306.3,305.54,305.48,304.49,1.41,1.2,1.08,0.96,0.44,0.41,0.39,0.4,0.41,0.48,0.48,0.51,0.57,0.59,0.6,0.6
44.0,103.84,96.47,89.73,85.2,58.21,47.66,51.5,49.06,49.92,40.84,40.36,38.63,33.15,32.39,32.57,31.34,376.99,369.62,362.88,358.35,331.36,320.81,324.65,322.21,323.07,313.99,313.51,311.78,306.3,305.54,305.72,304.49,1.41,1.21,1.09,0.97,0.44,0.4,0.39,0.4,0.41,0.47,0.48,0.5,0.57,0.59,0.59,0.6
45.0,104.08,96.71,89.73,85.44,58.46,47.66,51.5,49.31,49.92,40.84,40.36,38.63,33.15,32.64,32.57,31.34,377.23,369.86,362.88,358.59,331.61,320.81,324.65,322.46,323.07,313.99,313.51,311.78,306.3,305.79,305.72,304.49,1.42,1.21,1.09,0.97,0.44,0.4,0.39,0.4,0.41,0.47,0.48,0.5,0.57,0.58,0.59,0.6
46.0,104.32,96.95,89.96,85.68,58.71,47.91,51.74,49.56,50.17,41.09,40.36,38.88,33.15,32.64,32.81,31.59,377.47,370.1,363.11,358.83,331.86,321.06,324.89,322.71,323.32,314.24,313.51,312.03,306.3,305.79,305.96,304.74,1.43,1.22,1.1,0.98,0.44,0.4,0.39,0.4,0.4,0.47,0.48,0.5,0.57,0.58,0.59,0.59
47.0,104.56,97.44,90.44,85.92,58.96,48.16,51.74,49.56,50.17,41.09,40.61,38.88,33.39,32.64,32.81,31.59,377.71,370.59,363.59,359.07,332.11,321.31,324.89,322.71,323.32,314.24,313.76,312.03,306.54,305.79,305.96,304.74,1.43,1.23,1.11,0.98,0.45,0.4,0.39,0.4,0.4,0.47,0.48,0.5,0.57,0.58,0.59,0.59
48.0,104.56,97.44,90.44,85.92,58.96,48.16,51.98,49.8,50.42,41.34,40.61,38.88,33.39,32.64,32.81,31.59,377.71,370.59,363.59,359.07,332.11,321.31,325.13,322.95,323.57,314.49,313.76,312.03,306.54,305.79,305.96,304.74,1.43,1.23,1.11,0.98,0.45,0.4,0.39,0.4,0.4,0.47,0.48,0.5,0.57,0.58,0.59,0.59
49.0,104.56,97.44,90.44,86.16,58.96,48.16,51.98,49.8,50.67,41.34,40.86,39.13,33.39,32.88,33.05,31.84,377.71,370.59,363.59,359.31,332.11,321.31,325.13,322.95,323.82,314.49,314.01,312.28,306.54,306.03,306.2,304.99,1.43,1.23,1.11,0.99,0.45,0.4,0.39,0.4,0.4,0.47,0.47,0.5,0.57,0.58,0.58,0.59
50.0,104.8,97.44,90.44,86.16,59.21,48.16,52.23,50.05,50.67,41.34,40.86,39.13,33.64,32.88,33.05,31.84,377.95,370.59,363.59,359.31,332.36,321.31,325.38,323.2,323.82,314.49,314.01,312.28,306.79,306.03,306.2,304.99,1.44,1.23,1.11,0.99,0.45,0.4,0.39,0.4,0.4,0.47,0.47,0.5,0.57,0.58,0.58,0.59
51.0,105.04,97.68,90.68,86.4,59.46,48.41,52.23,50.05,50.67,41.6,40.86,39.13,33.64,32.88,33.05,31.84,378.19,370.83,363.83,359.55,332.61,321.56,325.38,323.2,323.82,314.75,314.01,312.28,306.79,306.03,306.2,304.99,1.44,1.24,1.11,0.99,0.45,0.4,0.39,0.4,0.4,0.46,0.47,0.5,0.57,0.58,0.58,0.59
52.0,105.04,97.68,90.92,86.4,59.46,48.41,52.47,50.05,50.67,41.6,40.86,39.13,33.64,32.88,33.05,31.84,378.19,370.83,364.07,359.55,332.61,321.56,325.62,323.2,323.82,314.75,314.01,312.28,306.79,306.03,306.2,304.99,1.44,1.24,1.12,0.99,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.5,0.57,0.58,0.58,0.59
53.0,105.28,97.68,90.68,86.4,59.46,48.41,52.47,50.05,50.92,41.6,41.1,39.38,33.64,32.88,33.05,31.84,378.43,370.83,363.83,359.55,332.61,321.56,325.62,323.2,324.07,314.75,314.25,312.53,306.79,306.03,306.2,304.99,1.45,1.24,1.11,0.99,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.57,0.58,0.58,0.59
54.0,105.28,97.68,90.92,86.4,59.46,48.66,52.47,50.05,50.67,41.6,41.1,39.38,33.64,32.88,33.05,31.84,378.43,370.83,364.07,359.55,332.61,321.81,325.62,323.2,323.82,314.75,314.25,312.53,306.79,306.03,306.2,304.99,1.45,1.24,1.12,0.99,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.57,0.58,0.58,0.59
55.0,105.28,98.16,91.16,86.64,59.46,48.66,52.47,50.3,50.92,42.1,41.1,39.63,33.64,33.13,33.05,31.84,378.43,371.31,364.31,359.79,332.61,321.81,325.62,323.45,324.07,315.25,314.25,312.78,306.79,306.28,306.2,304.99,1.45,1.25,1.12,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.57,0.57,0.58,0.59
56.0,105.52,97.92,91.16,86.64,59.71,48.66,52.47,50.3,50.92,41.85,41.1,39.38,33.64,33.13,33.05,31.84,378.67,371.07,364.31,359.79,332.86,321.81,325.62,323.45,324.07,315.0,314.25,312.53,306.79,306.28,306.2,304.99,1.46,1.24,1.12,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.57,0.57,0.58,0.59
