Time,Flux,Flux_err
2692.9901724373353,Null,Null
2692.9904039238327,Null,Null
2692.9906354103314,Null,Null
2692.990866897295,Null,Null
2692.9910983837926,Null,Null
2692.9913298702904,Null,Null
2692.991561357255,Null,Null
2692.991792843752,Null,Null
2692.9920243302504,Null,Null
2692.992255816748,Null,Null
2692.9924873037116,Null,Null
2692.99271879021,Null,Null
2692.992950276708,Null,Null
2692.9931817636716,Null,Null
2692.9934132501694,Null,Null
2692.9936447366676,Null,Null
2692.9938762236307,Null,Null
2692.994107710129,Null,Null
2692.994339196627,Null,Null
2692.994570683125,Null,Null
2692.9948021700884,Null,Null
2692.995033656587,Null,Null
2692.995265143084,Null,Null
2692.9954966300484,Null,Null
2692.995728116546,Null,Null
2692.995959603044,Null,Null
2692.996191090008,Null,Null
2692.996422576506,Null,Null
2692.9966540630035,Null,Null
